1	1	1	1	49	0.014847680168187537	1.205632815803881e-16
1	2	1	1	49	-8.745174723268079e-16	5.551115123125783e-17
2	1	1	1	49	2.3652954594943765e-15	-2.0816681711721685e-17
2	2	1	1	49	0.014847680168185053	2.242130092700023e-16
1	1	1	1	50	0.014847680168184173	-4.5102810375396984e-17
1	2	1	1	50	-8.821068875342064e-16	-1.5959455978986625e-16
2	1	1	1	50	8.673617379884035e-17	-4.163336342344337e-17
2	2	1	1	50	0.014847680168183702	1.7867651802561113e-16
1	1	1	1	60	0.014847680168185752	-3.5648567431323386e-16
1	2	1	1	60	2.190088388420719e-16	-1.3877787807814457e-17
2	1	1	1	60	-2.0174834025610267e-15	4.163336342344337e-17
2	2	1	1	60	0.01484768016818716	3.152859917587847e-16
1	1	1	1	61	1.	0.
1	2	1	1	61	8.98586760555986e-16	8.326672684688674e-17
2	1	1	1	61	8.98586760555986e-16	-8.326672684688674e-17
2	2	1	1	61	1.0000000000000002	0.
1	1	1	1	62	0.014847680168185752	3.5648567431323386e-16
1	2	1	1	62	-2.0174834025610267e-15	-4.163336342344337e-17
2	1	1	1	62	2.190088388420719e-16	1.3877787807814457e-17
2	2	1	1	62	0.01484768016818716	-3.152859917587847e-16
1	1	1	1	72	0.014847680168184173	4.5102810375396984e-17
1	2	1	1	72	8.673617379884035e-17	4.163336342344337e-17
2	1	1	1	72	-8.821068875342064e-16	1.5959455978986625e-16
2	2	1	1	72	0.014847680168183702	-1.7867651802561113e-16
1	1	1	1	73	0.014847680168187537	-1.205632815803881e-16
1	2	1	1	73	2.3652954594943765e-15	2.0816681711721685e-17
2	1	1	1	73	-8.745174723268079e-16	-5.551115123125783e-17
2	2	1	1	73	0.014847680168185053	-2.242130092700023e-16
1	1	1	2	49	0.11238385013851926	0.010173019401512919
1	2	1	2	49	-0.33546196656054184	-0.02992357990590852
2	1	1	2	49	-0.24376273679961885	-0.014279181214072213
2	2	1	2	49	0.024976893508144995	0.0014303064584209324
1	1	1	2	50	0.17168962513779135	0.015541395720230926
